seed,horizon,model,split,mae,rmse
1,3,Ridge,test,4917.516168037781,9477.28742865508
1,3,Rolling Mean,val,14164.543103448275,17365.749528525972
1,3,Rolling Mean,test,8826.525862068966,12406.655159023072
2,3,MLP,val,7266.762778834245,12052.416756041335
2,3,MLP,test,5237.171368198747,9295.445439586138
2,3,XGBoost,val,11038.364765822751,16471.558391422495
2,3,XGBoost,test,6516.516335389796,10247.091770969733
2,3,LightGBM,val,12673.61313624313,18266.068165934666
2,3,LightGBM,test,6784.660423223001,10402.757374027016
2,3,Ridge,val,7647.620360760297,12709.463693306478
2,3,Ridge,test,4917.516168037781,9477.28742865508
2,3,Rolling Mean,val,14164.543103448275,17365.749528525972
2,3,Rolling Mean,test,8826.525862068966,12406.655159023072
3,3,MLP,val,7700.569754810647,12136.386079090391
3,3,MLP,test,4628.481155010482,9178.613572769062
3,3,XGBoost,val,11643.343123806268,16933.67469785662
3,3,XGBoost,test,6741.895819406484,10315.512190992058
3,3,LightGBM,val,12885.349436409417,18474.319541351044
3,3,LightGBM,test,6688.275406648271,10348.925163612701
3,3,Ridge,val,7647.620360760297,12709.463693306478
3,3,Ridge,test,4917.516168037781,9477.28742865508
3,3,Rolling Mean,val,14164.543103448275,17365.749528525972
3,3,Rolling Mean,test,8826.525862068966,12406.655159023072
4,3,MLP,val,8015.389162551792,13306.94980934511
4,3,MLP,test,4399.10012820692,8940.474225640644
4,3,XGBoost,val,11597.995554400217,16983.681324566878
4,3,XGBoost,test,6597.443258608523,10284.611375619086
4,3,LightGBM,val,12649.124764854585,18127.803114130307
4,3,LightGBM,test,6886.514451496983,10456.582776835054
4,3,Ridge,val,7647.620360760297,12709.463693306478
4,3,Ridge,test,4917.516168037781,9477.28742865508
4,3,Rolling Mean,val,14164.543103448275,17365.749528525972
4,3,Rolling Mean,test,8826.525862068966,12406.655159023072
5,3,MLP,val,7176.509597188518,11878.41406243634
5,3,MLP,test,4692.921837850844,8830.339262954349
5,3,XGBoost,val,11268.49379463537,16691.084229388594
5,3,XGBoost,test,6899.141152222126,10526.48254139869
5,3,LightGBM,val,12679.128387443376,18304.260405700796
5,3,LightGBM,test,6858.312591892441,10469.589717500292
5,3,Ridge,val,7647.620360760297,12709.463693306478
5,3,Ridge,test,4917.516168037781,9477.28742865508
5,3,Rolling Mean,val,14164.543103448275,17365.749528525972
5,3,Rolling Mean,test,8826.525862068966,12406.655159023072
6,3,MLP,val,7004.862975269535,11958.48452913618
6,3,MLP,test,5046.011119816358,8916.706364061933
6,3,XGBoost,val,11717.94733473973,17149.34796471506
6,3,XGBoost,test,6740.4260511474695,10291.535814948222
6,3,LightGBM,val,12517.005640921992,18215.63111257263
6,3,LightGBM,test,6919.903891289516,10421.490911516934
6,3,Ridge,val,7647.620360760297,12709.463693306478
6,3,Ridge,test,4917.516168037781,9477.28742865508
6,3,Rolling Mean,val,14164.543103448275,17365.749528525972
6,3,Rolling Mean,test,8826.525862068966,12406.655159023072
7,3,MLP,val,8492.82239049093,13336.97464974797
7,3,MLP,test,4997.587056553895,9616.364671498945
7,3,XGBoost,val,11200.110840151086,16374.227732630108
7,3,XGBoost,test,6522.729286055718,10237.590161185892
7,3,LightGBM,val,12537.846276576887,18010.66192772292
7,3,LightGBM,test,6738.353953931133,10309.499744289218
7,3,Ridge,val,7647.620360760297,12709.463693306478
7,3,Ridge,test,4917.516168037781,9477.28742865508
7,3,Rolling Mean,val,14164.543103448275,17365.749528525972
7,3,Rolling Mean,test,8826.525862068966,12406.655159023072
8,3,MLP,val,9793.30174214868,15276.352393570249
8,3,MLP,test,4752.029292716071,9369.22831424524
8,3,XGBoost,val,11415.232282761586,16765.52893363675
8,3,XGBoost,test,6790.310629614169,10383.882897345014
8,3,LightGBM,val,12599.230587188942,18158.744065621697
8,3,LightGBM,test,6854.441439979464,10451.913231456045
8,3,Ridge,val,7647.620360760297,12709.463693306478
8,3,Ridge,test,4917.516168037781,9477.28742865508
8,3,Rolling Mean,val,14164.543103448275,17365.749528525972
8,3,Rolling Mean,test,8826.525862068966,12406.655159023072
9,3,MLP,val,8343.37533305742,13407.558590462062
9,3,MLP,test,4435.835835107855,8659.725287149391
9,3,XGBoost,val,11530.567994561512,16987.046977437538
9,3,XGBoost,test,6761.487792156012,10406.687242485319
9,3,LightGBM,val,13271.246442472022,18787.316300910537
9,3,LightGBM,test,6939.509755069233,10424.916918747596
9,3,Ridge,val,7647.620360760297,12709.463693306478
9,3,Ridge,test,4917.516168037781,9477.28742865508
9,3,Rolling Mean,val,14164.543103448275,17365.749528525972
9,3,Rolling Mean,test,8826.525862068966,12406.655159023072
10,3,MLP,val,7851.06775235354,12640.755817174755
10,3,MLP,test,4366.734013347946,8799.381947300995
10,3,XGBoost,val,11762.90085424207,17085.60198407335
10,3,XGBoost,test,6882.170080878008,10491.061584572024
10,3,LightGBM,val,12307.201202209462,17779.368974923767
10,3,LightGBM,test,6807.032796290936,10451.959520967128
10,3,Ridge,val,7647.620360760297,12709.463693306478
10,3,Ridge,test,4917.516168037781,9477.28742865508
10,3,Rolling Mean,val,14164.543103448275,17365.749528525972
10,3,Rolling Mean,test,8826.525862068966,12406.655159023072
11,3,MLP,val,8254.466899000307,13345.361584964166
11,3,MLP,test,5005.012277325906,9376.852449048405
11,3,XGBoost,val,11911.78591006362,17309.161742738244
11,3,XGBoost,test,6673.211936688022,10397.861194177181
11,3,LightGBM,val,12482.462729753235,18165.003885603837
11,3,LightGBM,test,6867.587072768145,10315.33671370492
11,3,Ridge,val,7647.620360760297,12709.463693306478
11,3,Ridge,test,4917.516168037781,9477.28742865508
11,3,Rolling Mean,val,14164.543103448275,17365.749528525972
11,3,Rolling Mean,test,8826.525862068966,12406.655159023072
12,3,MLP,val,9031.236092942683,13854.099823677076
12,3,MLP,test,5158.961694477171,8991.811645301555
12,3,XGBoost,val,11311.965969830502,16612.416339829997
12,3,XGBoost,test,6945.474066014258,10522.357945381935
12,3,LightGBM,val,12765.649630652408,18405.252109770525
12,3,LightGBM,test,6819.211562786472,10480.396827756536
12,3,Ridge,val,7647.620360760297,12709.463693306478
12,3,Ridge,test,4917.516168037781,9477.28742865508
12,3,Rolling Mean,val,14164.543103448275,17365.749528525972
12,3,Rolling Mean,test,8826.525862068966,12406.655159023072
13,3,MLP,val,8119.142383116479,12962.638929607452
13,3,MLP,test,4982.548260489311,9274.629253932462
13,3,XGBoost,val,11447.64892615174,16724.4902906022
13,3,XGBoost,test,6650.569856709002,10336.182920424362
13,3,LightGBM,val,12897.098961760334,18583.467586728108
13,3,LightGBM,test,6817.475049867597,10474.93542714533
13,3,Ridge,val,7647.620360760297,12709.463693306478
13,3,Ridge,test,4917.516168037781,9477.28742865508
13,3,Rolling Mean,val,14164.543103448275,17365.749528525972
13,3,Rolling Mean,test,8826.525862068966,12406.655159023072
14,3,MLP,val,7910.748769607792,13177.350543036902
14,3,MLP,test,4804.046392103919,9033.831585818543
14,3,XGBoost,val,11403.747035839438,16919.037192549677
14,3,XGBoost,test,6930.722850206256,10568.745368038884
14,3,LightGBM,val,12444.71678377997,17918.921619817964
14,3,LightGBM,test,6897.706036150823,10458.250708267811
14,3,Ridge,val,7647.620360760297,12709.463693306478
14,3,Ridge,test,4917.516168037781,9477.28742865508
14,3,Rolling Mean,val,14164.543103448275,17365.749528525972
14,3,Rolling Mean,test,8826.525862068966,12406.655159023072
15,3,MLP,val,6412.209754199586,10698.679369606332
15,3,MLP,test,5099.574035718695,9950.040823027297
15,3,XGBoost,val,11575.43791117322,17018.266683642923
15,3,XGBoost,test,6728.11119742296,10469.799023093175
15,3,LightGBM,val,12668.485978166853,18271.497982548965
15,3,LightGBM,test,6862.585998138506,10439.135585986473
15,3,Ridge,val,7647.620360760297,12709.463693306478
15,3,Ridge,test,4917.516168037781,9477.28742865508
15,3,Rolling Mean,val,14164.543103448275,17365.749528525972
15,3,Rolling Mean,test,8826.525862068966,12406.655159023072
1,4,MLP,val,9095.624659373932,13727.640115482085
1,4,MLP,test,5743.637664068195,9996.708104732823
1,4,XGBoost,val,13288.38963127734,19006.463545842747
1,4,XGBoost,test,7671.572866311404,11340.129968833917
1,4,LightGBM,val,14233.934344309328,20665.975648203752
1,4,LightGBM,test,7488.295081407624,11118.899076709848
1,4,Ridge,val,9780.353832064675,15613.989401937108
1,4,Ridge,test,5303.434353878573,9569.334971413842
1,4,Rolling Mean,val,17288.54464285714,20605.19540300412
1,4,Rolling Mean,test,10372.098214285714,13743.03773709814
2,4,MLP,val,9659.20154050193,15800.482886565998
2,4,MLP,test,5352.472588150524,9637.193027813379
2,4,XGBoost,val,13102.989423287976,18827.975143391122
2,4,XGBoost,test,7661.43963132128,11316.403101103457
2,4,LightGBM,val,14441.015544111378,20771.88854745379
2,4,LightGBM,test,7700.528510446733,11307.351813372226
2,4,Ridge,val,9780.353832064675,15613.989401937108
2,4,Ridge,test,5303.434353878573,9569.334971413842
2,4,Rolling Mean,val,17288.54464285714,20605.19540300412
2,4,Rolling Mean,test,10372.098214285714,13743.03773709814
3,4,MLP,val,9440.666337817338,14703.392837971709
3,4,MLP,test,5398.117052263447,9478.970165818118
3,4,XGBoost,val,12658.350194012672,18529.2945980049
3,4,XGBoost,test,7405.957945521087,10971.273016046915
3,4,LightGBM,val,14167.965622680804,20668.516204987423
3,4,LightGBM,test,7535.935110258354,11189.638350562072
3,4,Ridge,val,9780.353832064675,15613.989401937108
3,4,Ridge,test,5303.434353878573,9569.334971413842
3,4,Rolling Mean,val,17288.54464285714,20605.19540300412
3,4,Rolling Mean,test,10372.098214285714,13743.03773709814
4,4,MLP,val,11089.45929826784,16814.76304632893
4,4,MLP,test,4990.40950632368,9430.548438360258
4,4,XGBoost,val,13201.427718264571,18908.23103911209
4,4,XGBoost,test,7475.314666816414,11105.522046780192
4,4,LightGBM,val,14505.088927664741,20797.51541685627
4,4,LightGBM,test,7724.625967790805,11320.180641663037
4,4,Ridge,val,9780.353832064675,15613.989401937108
4,4,Ridge,test,5303.434353878573,9569.334971413842
4,4,Rolling Mean,val,17288.54464285714,20605.19540300412
4,4,Rolling Mean,test,10372.098214285714,13743.03773709814
5,4,MLP,val,8736.145099588983,14307.266856680264
5,4,MLP,test,5043.460754549756,9109.555411782705
5,4,XGBoost,val,13537.254595064389,19172.978931513957
5,4,XGBoost,test,7846.939770751997,11385.66858316144
5,4,LightGBM,val,14138.624304159157,20537.10185092048
5,4,LightGBM,test,7460.744526576159,11095.677938399993
